Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
LIBERIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LIBYA;484;493;650;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LIECHTENSTEIN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LITHUANIA;1925;2864;2981;3241;3487;3632;3390;3584;3502;NULL;1633;1789;1661;1757;1288;1411;1526;1708;1764;1789;1860;1953;2032;2244;2347;682;830.2;1919
LUXEMBOURG;NULL;NULL;694;757;809;950;923;1049;1021;1100;1185;1084;1132;1190;1362;1237;1643;1580;1624;1815;1702;1588;2346;2510;2548;1460;1814;2819
MACAO, CHINA;7880.149;10155.372;12072.223;9371.366;10337.472;14587.701;18223.283;20479.862;19234.295;22054.228;26083.957;25758.6;25095.21;25101.35;24996.957;25638.668;26355.133;23919.072;23534.854;23704.57;26049.73;26640.929;27756.617;28437.881;30429.177;14425.65;20875.667;21153.898
MADAGASCAR;39;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MALAWI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;120;NULL;NULL;NULL
MALAYSIA;20642;23333;26165;25631;26067;30532;36248;29866;32201;30761;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MALDIVES;32;32;33;37;42;42;41;43;44;61;77;74;102;123;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MALI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MALTA;163;168;172;167;179;200;179;157;174;203;225;257;280;261;264;294;309;331;363;391;428;497;573;667;707;197;303;601.7
MARSHALL ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MARTINIQUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MAURITANIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MAURITIUS;107;120;132;143;154;163;161;162;161;180;183;186;213;226;196;212;219;237;228;223;242;260;283;296;320;65;42;229.3
MEXICO;8450;9001;8910;9637;10352;11079;12075;11948;11044;12494;13305;14002;15257;14527;14104;14334;14799;15581;15911;18261;19603;20223;19067;19748;19810;7345;11685;13750
MICRONESIA, FEDERATED STATES OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MOLDOVA, REPUBLIC OF;71;54;35;28;37;32;30;52;67;68;57;68;82;85;93;116.9;135.9;146.4;157.3;179.5;185.7;170;216;251;289;73;216.6;317.2
MONACO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MONGOLIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MONTENEGRO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MONTSERRAT;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MOROCCO;1317;1212;1203;1275;1545;1508;1701;1533;1612;1603;2247;2135;2669;3421;2293;2175;2378;2323;2195;1850;1910;1864;1849;1923;2009;646;869;2020
MOZAMBIQUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MYANMAR;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NAMIBIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NAURU;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NEPAL;100;119;132;122;125;155;200;238;258;286;373;415;469;561;589;765;774;862;983;NULL;NULL;NULL;1197;NULL;NULL;NULL;NULL;NULL
NETHERLANDS;12313;12807;12858;13553;14184;13896;14214;16719;16425;17130;17039;16695;17523;18399;18340;18368;18560;18628;18094;17928;17535;18152;20763;20981;22045;7667;11601;23146
NEW CALEDONIA;59;64;63;68;69;69;68;72;78;89;96;100;106;112;119;132;124;121;121;124;127;134;135;139;310;104;18;159
NEW ZEALAND;920;1093;1132;1166;1185;1283;1287;1293;1374;1733;1872;1861;1978;1967;1918;2026;2096;2172;2197;2276;2412;2611;2853;3038;3225;511;234;1629
NICARAGUA;255;282;330;422;452;486;499;532;562;701;740;773;949;942;858;908;912;979;994;959;925;981;982;974;949;325;372;699
NIGER;10;10;10;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NIGERIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NIUE;NULL;NULL;NULL;NULL;0.5;1;1.2;1.1;1.4;1.5;1.6;1.6;1.8;1.8;1.7;1.6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.5;0.5;NULL
NORTH MACEDONIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NORTHERN MARIANA ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NORWAY;590;692;753;NULL;2271;2394;2348;2629;2588;2960;3166;3236;3395;NULL;6640;7590;8130;9250;9280;9190;8750;8030;8170;8110;8890;1690;1860;7040
OMAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2018;2248;2263;2062;1645;1873;2446;2888;3103;3358;3838;4167;4473;3350;4224;1098;1311;3318.2
PAKISTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
PALAU;NULL;NULL;NULL;9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
PANAMA;185;188;194;211;221;216;200;200;227;256;285;284;314;369;336;392;414;447;619;853;965;1051;869;1020;1226;401;583;851
PAPUA NEW GUINEA;51;NULL;64;65;58;52;38;92;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
PARAGUAY;427;418;369;318;281;175;157;141;153;170;188;210;242;278;288;302;347;400;440;426;1008;1503;1471;1447;1449;378;366;988
PERU;508;510;577;538;513;730;1060;1232;1392;1635;1841;1857;1915;1913;1891;2058;2132;2296;2364;2442;2595;2751;2875;3078;3275;791;617;2118.5
PHILIPPINES;1615;2121;1930;1817;1755;1670;1787;1969;1803;1920;2144;2745;3066;3355;3188;NULL;NULL;NULL;NULL;3488;5115;5703;NULL;NULL;NULL;NULL;NULL;NULL
POLAND;36387;44713;48610;49328;55097;56677;53122;45043;38730;37226;6200;7300;6900;7600;6300;7100;6300;9300;10050;10300;10900;11300;12000;12800;13500;6200;6813;11742
PORTUGAL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;17141;18110;18378;20989;NULL;NULL;NULL;NULL;1361;1490;1502;1893;1941;2195;2486;3100;680;1012;2657
PUERTO RICO;1237;1184;1251;1250;1134;1259;1331;1227;1272;1361;1410;1468;1441;1438;1116;980;924;876;839;793;746;789;784;731;766;688;659;1086
QATAR;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
REUNION;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ROMANIA;5737;5748;6243;6893;6274;6388;6408;5757;6497;6972;7140;8906;10980;13072;11723;10905;10936;11149;11364;12299;13118;16128;19953;21039;23066;9510;11643;17265
RUSSIAN FEDERATION;21329;12260;11182;10635;12631;18371;18030;20428;20572;24507;28416;29107;34285;36538;34276;39323;43726;47813;54069;45889;34550;31659;39629;41964;45330;12361;NULL;NULL
RWANDA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SABA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SAINT KITTS AND NEVIS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SAINT LUCIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SAINT VINCENT AND THE GRENADINES;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SAMOA;NULL;NULL;NULL;NULL;58;61;56;53;51;54;52;51;52;53;43;56;57;56;51;57;54;NULL;55;64;69;18.5;4.9;25
SAN MARINO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SAO TOME AND PRINCIPE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8.6;10.3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SAUDI ARABIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7896;4104;3811;4403;2000;4126;4087;6032;17827;15281.320349678323;18671;19153.95934874298;19824.4911796831;20819;21207;21146;19751;19010;4839;8415.1;16882
SENEGAL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SERBIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SERBIA AND MONTENEGRO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SEYCHELLES;31;29;30;31;32;36;41;53;50;48;52;55;58;54;49;59;48;45;47;50;56;68;74;72;76;19;27;51
SIERRA LEONE;NULL;NULL;6;7;13;13;20;27;13;28;63;67;71;73;72;76;99;104;111;93;61;92;110;112;122;38;25;NULL
SINGAPORE;2867;3305;3671;3745;3971;4444;4363;4399;4221;5165;5159;5533;6024;6828;6961;7342;7753;8048;8647;8903;9125;9474;9889;10378;10711;1543;833;5154
SINT EUSTATIUS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SINT MAARTEN (DUTCH PART);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SLOVAKIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2987;3149;3603;3683;3230;2692;3285;2689;2129;2406;2777;3095;3870;4662;5214;1044;1562;NULL
SLOVENIA;NULL;NULL;NULL;NULL;NULL;1965;2055;2127;2114;2800;2660;2680;2496;2459;2586;2874;2722;2474;2612;2642;2867;2853;3013;3188;3170;1138;2123;3161
SOLOMON ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SOMALIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SOUTH AFRICA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SOUTH SUDAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SPAIN;3648;4224;3980;4794;3519;4100;4139;3871;4094;5121;10464;10678;11276;11229;12017;12379;13347;12422;11246;11783;14407;15405;17031;19032;19845;4940;7013;15755
SRI LANKA;504;494;531;518;497;524;505;533;561;680;727;757;862;966;963;1122;1239;1269;1262;1311;1356;1448;1439;1476;1441;305;309;1127.5
STATE OF PALESTINE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SUDAN;195;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SURINAME;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SWEDEN;10127;10390;10818;11422;10500;10147;10741;12888;12649;13950;15677;12559;12692;13291;11699;13042;14651;15548;15917;NULL;NULL;NULL;20361;18855;18000;4225;5767;NULL
SWITZERLAND;11148;12061;12515;11891;11815;12240;11554;11427;8774;NULL;NULL;NULL;NULL;11147;10453;10011;10466;12098;12403;12518;13601;13857;15318;15285;13443;6118;6296;11275.1
SYRIAN ARAB REPUBLIC;1746;1871;2299;2411;2994;3863;3492;3299;3997;4309;4564;4042;4196;5253;5215;6259;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
TAIWAN PROVINCE OF CHINA;5189;5714;6162;5912;6559;7329;7153;7319;5923;7781;8208;8671;8964;8465;8143;9415;9584;10240;11053;11845;13183;14589;15655;16645;17101;2336;360;1483
TAJIKISTAN;NULL;NULL;NULL;NULL;4.1;6.4;2.7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15;15;19;16;22;31;31;NULL;NULL;NULL;NULL
TANZANIA, UNITED REPUBLIC OF;157;148;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;121;NULL
THAILAND;1820;1845;1660;1412;1655;1909;2011;2250;2152;2709;3047;3382;4018;3908;4653;5451;5397;5721;5970;6444;6794;8204;8963;9966;10446;1706;33;NULL
TIMOR-LESTE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
TOGO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;191;216;236;269;NULL;NULL;NULL
TONGA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
TRINIDAD AND TOBAGO;261;248;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;270;273;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
TUNISIA;1778;1428;1381;1526;1480;1632;1669;1939;2274;2312;2241;2302;2743;3118;2623;2250;2303;2897;2873;2637;NULL;1830;NULL;2515;2781;739;1748;3314
TÜRKIYE;3981;4261;4633;4601;4758;5284;4856;5131;5928;7299;8246;8275;4956;4893;5561;6557;6282;5803;7526;7982;8751;7892;8887;8383;9651;2243;2738;7267
TURKMENISTAN;21;29;31;357;NULL;78;111;79;34;32;33;33;38;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
TURKS AND CAICOS ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
TUVALU;NULL;NULL;NULL;1.9;2.2;2.9;2.8;2.7;2.6;2.3;2.2;2;2.4;NULL;NULL;NULL;2.1;NULL;NULL;NULL;NULL;NULL;NULL;4.2;4.7;1.5;0.5;1.4
UGANDA;NULL;NULL;148;241;327;153;152;184;189;231;189;254;272;337;311;324;367;469;471;511;523;568;563;NULL;488;197;331;NULL
UKRAINE;6552;6004;9632;7773;7399;13422;14849;14729;14795;15588;16454;16875;17335;15499;15334;17180;19773;21433;23761;22438;23142;24668;26437;27811;28880;11018;14352;15184
UNITED ARAB EMIRATES;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;17407;18222;18356;18454;18395;6284;7258.1;NULL
UNITED KINGDOM;41345;42050;45957;50872;53881;56837;58281;59377;61424;64194;66494;69536;69450;69011;63513;64647;67493;66858;68959;72204;77619;81757;87242;90571;93086;23827;19142;70950
UNITED STATES OF AMERICA;51285;52999;53229;55696;57222;61327;59442;58066;56250;61809;63503;63663;64049;63653;62130;61061;59209;60697;61344;68185;74191;80223;87657;93137.4;99744.4;33499.4;NULL;NULL
UNITED STATES VIRGIN ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
URUGUAY;NULL;NULL;562;654;778;667;531;530;495;569;658;666;635;734;826;1027;1534;1816;2281;2396;2217;1715;1789;1947;2199;NULL;93;NULL
UZBEKISTAN;NULL;NULL;246;247;202;217;183;264;400;455;572;893;1248;1150;1317;1610;NULL;NULL;3117;2786;3491;3848;5182;8594;8437;NULL;NULL;NULL
VANUATU;11;11;11;12;12;12;11;11;12;13;14;15;16;19;20;21;22;23;26;26;27;20.3;26.3;28.4;36.4;9.4;9;18.2
VENEZUELA, BOLIVARIAN REPUBLIC OF;534;511;460;752;754;954;933;881;832;816;1067;1095;1410;1745;1651;1477;1719;1734;1931;1589;1539;1530;1079;NULL;NULL;NULL;NULL;NULL
VIET NAM;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
YEMEN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ZAMBIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ZIMBABWE;256;69;123;213;331;NULL;NULL;NULL;386;498;474;541;547;593;631;650;693;720;2946;3182;3393;3192;2768;2288;3275;993;597;1610
